table,table.lower,Description,URL (for data),Reference,DOI (for paper),DOI (for data),Original License,Custom License (source),Public Reshare?,Derived License,Custom License (derived),Notes,Contributor,Date
c19prc_uk_mcbride_2021_polarization_covid,c19prc_uk_mcbride_2021_polarization_covid,,,,,10.5255/UKDA-SN-855552,,,Public,CC BY 4.0,,,automated,9/6/2026
c19prc_uk_mcbride_2021_polarization_brexit,c19prc_uk_mcbride_2021_polarization_brexit,,,,,10.5255/UKDA-SN-855552,,,Public,CC BY 4.0,,,automated,9/6/2026
c19prc_uk_mcbride_2021_handle_c19,c19prc_uk_mcbride_2021_handle_c19,,,,,10.5255/UKDA-SN-855552,,,Public,CC BY 4.0,,,automated,9/6/2026
c19prc_uk_mcbride_2021_wordsum,c19prc_uk_mcbride_2021_wordsum,,,,,10.5255/UKDA-SN-855552,,,Public,CC BY 4.0,,,automated,9/6/2026
dasilva_2019_crt,dasilva_2019_crt,,,,,10.6084/m9.figshare.7582019.v1,,,Public,CC BY 4.0,,,automated,9/6/2026
forrest_2021_family_belonging_child,forrest_2021_family_belonging_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_family_belonging_proxy,forrest_2021_family_belonging_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_family_involve_child,forrest_2021_family_involve_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_family_involve_proxy,forrest_2021_family_involve_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_global_health_child,forrest_2021_global_health_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_global_health_proxy,forrest_2021_global_health_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_life_satisfaction_child,forrest_2021_life_satisfaction_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_life_satisfaction_proxy,forrest_2021_life_satisfaction_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_meaning_purpose_child,forrest_2021_meaning_purpose_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_meaning_purpose_proxy,forrest_2021_meaning_purpose_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_phys_activity_child,forrest_2021_phys_activity_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_phys_activity_proxy,forrest_2021_phys_activity_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_phys_stress_child,forrest_2021_phys_stress_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_phys_stress_proxy,forrest_2021_phys_stress_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_positive_affect_child,forrest_2021_positive_affect_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_positive_affect_proxy,forrest_2021_positive_affect_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_psych_stress_child,forrest_2021_psych_stress_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_psych_stress_proxy,forrest_2021_psych_stress_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_strength_child,forrest_2021_strength_child,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
forrest_2021_strength_proxy,forrest_2021_strength_proxy,,,,,10.7910/DVN/QOO7QX,,,Public,CC0 1.0,,,automated,9/6/2026
abramson_2026_israel_policy,abramson_2026_israel_policy,,,,,10.7910/DVN/NGRR1Q,,,Public,CC0 1.0,,,automated,9/6/2026
abramson_2026_israel_attachment,abramson_2026_israel_attachment,,,,,10.7910/DVN/NGRR1Q,,,Public,CC0 1.0,,,automated,9/6/2026
abramson_2026_mobilization,abramson_2026_mobilization,,,,,10.7910/DVN/NGRR1Q,,,Public,CC0 1.0,,,automated,9/6/2026
abramson_2026_jewish_identity,abramson_2026_jewish_identity,,,,,10.7910/DVN/NGRR1Q,,,Public,CC0 1.0,,,automated,9/6/2026
altman_2020_capq,altman_2020_capq,,,,,10.17632/y8wwtmxxzg,,,Public,CC BY 4.0,,,automated,9/6/2026
wang_2025_growth_mindset,wang_2025_growth_mindset,,,,,10.17632/dt5hj5j792,,,Public,CC BY 4.0,,,automated,9/6/2026
wang_2025_cognitive_fusion,wang_2025_cognitive_fusion,,,,,10.17632/dt5hj5j792,,,Public,CC BY 4.0,,,automated,9/6/2026
wang_2025_impulse_control,wang_2025_impulse_control,,,,,10.17632/dt5hj5j792,,,Public,CC BY 4.0,,,automated,9/6/2026
wang_2025_automatic_thoughts,wang_2025_automatic_thoughts,,,,,10.17632/dt5hj5j792,,,Public,CC BY 4.0,,,automated,9/6/2026
senyurt_2023_burnout,senyurt_2023_burnout,,,,,10.17632/dkv4dyxdwx,,,Public,CC BY 4.0,,,automated,9/6/2026
sokolovskii_2021_tfeq,sokolovskii_2021_tfeq,,,,,10.6084/m9.figshare.16577462,,,Public,CC BY 4.0,,,automated,9/6/2026
doherty_2023_dass21,doherty_2023_dass21,,,,,10.17632/95cmh2ftwk,,,Public,CC BY 4.0,,,automated,9/6/2026
doherty_2023_burnout,doherty_2023_burnout,,,,,10.17632/95cmh2ftwk,,,Public,CC BY 4.0,,,automated,9/6/2026
doherty_2023_bfi10,doherty_2023_bfi10,,,,,10.17632/95cmh2ftwk,,,Public,CC BY 4.0,,,automated,9/6/2026
daderman_2023_naqr,daderman_2023_naqr,,,,,10.17632/mgwtzjww7g,,,Public,CC BY 4.0,,,automated,9/6/2026
chen_2026_mobile_phone_addiction,chen_2026_mobile_phone_addiction,,,,,10.7910/DVN/QS5D8C,,,Public,CC0 1.0,,,automated,9/6/2026
chen_2026_self_control,chen_2026_self_control,,,,,10.7910/DVN/QS5D8C,,,Public,CC0 1.0,,,automated,9/6/2026
chen_2026_social_anxiety,chen_2026_social_anxiety,,,,,10.7910/DVN/QS5D8C,,,Public,CC0 1.0,,,automated,9/6/2026
kermen_2022_self_efficacy,kermen_2022_self_efficacy,,,,,10.17632/3gx5f24fpv,,,Public,CC BY 4.0,,,automated,9/6/2026
kermen_2022_self_regulation,kermen_2022_self_regulation,,,,,10.17632/3gx5f24fpv,,,Public,CC BY 4.0,,,automated,9/6/2026
kermen_2022_anxiety,kermen_2022_anxiety,,,,,10.17632/3gx5f24fpv,,,Public,CC BY 4.0,,,automated,9/6/2026
kermen_2022_attention,kermen_2022_attention,,,,,10.17632/3gx5f24fpv,,,Public,CC BY 4.0,,,automated,9/6/2026
peng_2024_grit,peng_2024_grit,,,,,10.17632/ddy7jc4mvb,,,Public,CC BY 4.0,,,automated,9/6/2026
peng_2024_language_enjoyment,peng_2024_language_enjoyment,,,,,10.17632/ddy7jc4mvb,,,Public,CC BY 4.0,,,automated,9/6/2026
peng_2024_language_boredom,peng_2024_language_boredom,,,,,10.17632/ddy7jc4mvb,,,Public,CC BY 4.0,,,automated,9/6/2026
rosyid_2025_academic_citizenship,rosyid_2025_academic_citizenship,,,,,10.17632/dfzf2kxmr3,,,Public,CC BY 4.0,,,automated,9/6/2026
rosyid_2025_ethical_leadership,rosyid_2025_ethical_leadership,,,,,10.17632/dfzf2kxmr3,,,Public,CC BY 4.0,,,automated,9/6/2026
rosyid_2025_prosocial_motivation,rosyid_2025_prosocial_motivation,,,,,10.17632/dfzf2kxmr3,,,Public,CC BY 4.0,,,automated,9/6/2026
dalichaouche_2026_covid_knowledge,dalichaouche_2026_covid_knowledge,,,,,10.6084/m9.figshare.31851586,,,Public,CC BY 4.0,,,automated,9/6/2026
dalichaouche_2026_covid_attitudes,dalichaouche_2026_covid_attitudes,,,,,10.6084/m9.figshare.31851586,,,Public,CC BY 4.0,,,automated,9/6/2026
dalichaouche_2026_covid_practices,dalichaouche_2026_covid_practices,,,,,10.6084/m9.figshare.31851586,,,Public,CC BY 4.0,,,automated,9/6/2026
goldberg_2018_bri_bri,goldberg_2018_bri_bri,,,,,10.7910/DVN/LXKJIV,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_bri_curio,goldberg_2018_bri_curio,,,,,10.7910/DVN/LXKJIV,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_bri_feel,goldberg_2018_bri_feel,,,,,10.7910/DVN/LXKJIV,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_bri_food,goldberg_2018_bri_food,,,,,10.7910/DVN/LXKJIV,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_bri_ofood,goldberg_2018_bri_ofood,,,,,10.7910/DVN/LXKJIV,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_ciss,goldberg_2018_ciss,,,,,10.7910/DVN/ANMXHR,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_cpi,goldberg_2018_cpi,,,,,10.7910/DVN/VBLMYO,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_dop_ab5c_vignettes,goldberg_2018_dop_ab5c_vignettes,,,,,10.7910/DVN/MH6FCC,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_dop_avocational_interests,goldberg_2018_dop_avocational_interests,,,,,10.7910/DVN/MH6FCC,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_eps_adjectives,goldberg_2018_eps_adjectives,,,,,10.7910/DVN/GCV3ZZ,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_eps_cesd,goldberg_2018_eps_cesd,,,,,10.7910/DVN/GCV3ZZ,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_eps_ipip,goldberg_2018_eps_ipip,,,,,10.7910/DVN/GCV3ZZ,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_eps_life_events,goldberg_2018_eps_life_events,,,,,10.7910/DVN/GCV3ZZ,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_eps_s11,goldberg_2018_eps_s11,,,,,10.7910/DVN/GCV3ZZ,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_eps_spirituality,goldberg_2018_eps_spirituality,,,,,10.7910/DVN/GCV3ZZ,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_hpi,goldberg_2018_hpi,,,,,10.7910/DVN/YMBILD,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_hpq_h,goldberg_2018_hpq_h,,,,,10.7910/DVN/SVGXVF,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_ipip,goldberg_2018_ipip,,,,,10.7910/DVN/UF52WY,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_jpir,goldberg_2018_jpir,,,,,10.7910/DVN/DUP1TT,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_pas_adjectives,goldberg_2018_pas_adjectives,,,,,10.7910/DVN/QYKXUE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_pas_ipip_scales,goldberg_2018_pas_ipip_scales,,,,,10.7910/DVN/QYKXUE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_pda360,goldberg_2018_pda360,,,,,10.7910/DVN/ZNGS1K,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_pda525,goldberg_2018_pda525,,,,,10.7910/DVN/GHYMEV,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_pf16_p,goldberg_2018_pf16_p,,,,,10.7910/DVN/ID7PMC,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_ppq_beliefs,goldberg_2018_ppq_beliefs,,,,,10.7910/DVN/BTNABX,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_ppq_dream,goldberg_2018_ppq_dream,,,,,10.7910/DVN/BTNABX,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_ppq_music,goldberg_2018_ppq_music,,,,,10.7910/DVN/BTNABX,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_ppq_via_strengths,goldberg_2018_ppq_via_strengths,,,,,10.7910/DVN/BTNABX,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_bas_bis,goldberg_2018_prs_bas_bis,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_gray_wilson,goldberg_2018_prs_gray_wilson,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_hexaco,goldberg_2018_prs_hexaco,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_ipip,goldberg_2018_prs_ipip,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_movie_preferences,goldberg_2018_prs_movie_preferences,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_music_preferences,goldberg_2018_prs_music_preferences,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_peo,goldberg_2018_prs_peo,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_pey,goldberg_2018_prs_pey,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_reading_preferences,goldberg_2018_prs_reading_preferences,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_prs_tv_preferences,goldberg_2018_prs_tv_preferences,,,,,10.7910/DVN/XJ6MXH,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sbo,goldberg_2018_sbo,,,,,10.7910/DVN/WV5BYC,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sdv_adjectives,goldberg_2018_sdv_adjectives,,,,,10.7910/DVN/LHHONE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sdv_desirability,goldberg_2018_sdv_desirability,,,,,10.7910/DVN/LHHONE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sdv_force,goldberg_2018_sdv_force,,,,,10.7910/DVN/LHHONE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sdv_happy,goldberg_2018_sdv_happy,,,,,10.7910/DVN/LHHONE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sdv_influ,goldberg_2018_sdv_influ,,,,,10.7910/DVN/LHHONE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sdv_ipip_temperament,goldberg_2018_sdv_ipip_temperament,,,,,10.7910/DVN/LHHONE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sdv_likelihood,goldberg_2018_sdv_likelihood,,,,,10.7910/DVN/LHHONE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sdv_schwartz_values,goldberg_2018_sdv_schwartz_values,,,,,10.7910/DVN/LHHONE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_sdv_views,goldberg_2018_sdv_views,,,,,10.7910/DVN/LHHONE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_beliefs_about_intelligence,goldberg_2018_spa_beliefs_about_intelligence,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_bfi_forced_choice,goldberg_2018_spa_bfi_forced_choice,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_changeability,goldberg_2018_spa_changeability,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_cultural_familiarity,goldberg_2018_spa_cultural_familiarity,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_ipip,goldberg_2018_spa_ipip,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_medical_history,goldberg_2018_spa_medical_history,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_skill_proficiency,goldberg_2018_spa_skill_proficiency,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_skills,goldberg_2018_spa_skills,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_speo,goldberg_2018_spa_speo,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_spey,goldberg_2018_spa_spey,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_spa_talents,goldberg_2018_spa_talents,,,,,10.7910/DVN/IOA6EE,,,Public,CC0 1.0,,,automated,9/6/2026
goldberg_2018_tci,goldberg_2018_tci,,,,,10.7910/DVN/TERJAK,,,Public,CC0 1.0,,,automated,9/6/2026
aditama_2024_strs,aditama_2024_strs,,,,,10.17632/b4byp3rn7j,,,Public,CC BY 4.0,,,automated,9/6/2026
aiquipa_2026_dgs,aiquipa_2026_dgs,,,,,10.17632/w5f55333p4.2,,,Public,CC BY 4.0,,,automated,9/6/2026
alan_2018_student_gender_attitudes,alan_2018_student_gender_attitudes,,,,,10.7910/DVN/FGBZCK,,,Public,CC0 1.0,,,automated,9/6/2026
alan_2018_teacher_extrinsic_motivation,alan_2018_teacher_extrinsic_motivation,,,,,10.7910/DVN/FGBZCK,,,Public,CC0 1.0,,,automated,9/6/2026
alan_2018_teacher_gender_attitudes,alan_2018_teacher_gender_attitudes,,,,,10.7910/DVN/FGBZCK,,,Public,CC0 1.0,,,automated,9/6/2026
alan_2018_teacher_growth_mindset,alan_2018_teacher_growth_mindset,,,,,10.7910/DVN/FGBZCK,,,Public,CC0 1.0,,,automated,9/6/2026
alan_2018_teacher_modern_teaching,alan_2018_teacher_modern_teaching,,,,,10.7910/DVN/FGBZCK,,,Public,CC0 1.0,,,automated,9/6/2026
alan_2018_teacher_warmth,alan_2018_teacher_warmth,,,,,10.7910/DVN/FGBZCK,,,Public,CC0 1.0,,,automated,9/6/2026
alloubani_2021_stai_state,alloubani_2021_stai_state,,,,,10.7910/DVN/OSXHWE,,,Public,CC0 1.0,,,automated,9/6/2026
alloubani_2021_stai_trait,alloubani_2021_stai_trait,,,,,10.7910/DVN/OSXHWE,,,Public,CC0 1.0,,,automated,9/6/2026
arabaci_2025_burnout,arabaci_2025_burnout,,,,,10.7910/DVN/QBUOHG,,,Public,CC0 1.0,,,automated,9/6/2026
arabaci_2025_skill_diversity,arabaci_2025_skill_diversity,,,,,10.7910/DVN/QBUOHG,,,Public,CC0 1.0,,,automated,9/6/2026
arabaci_2025_task_diversity,arabaci_2025_task_diversity,,,,,10.7910/DVN/QBUOHG,,,Public,CC0 1.0,,,automated,9/6/2026
arabaci_2025_turnover_intention,arabaci_2025_turnover_intention,,,,,10.7910/DVN/QBUOHG,,,Public,CC0 1.0,,,automated,9/6/2026
balparda_2021_kepaq_emotional,balparda_2021_kepaq_emotional,,,,,10.7910/DVN/LTMAHE,,,Public,CC0 1.0,,,automated,9/6/2026
balparda_2021_kepaq_functional,balparda_2021_kepaq_functional,,,,,10.7910/DVN/LTMAHE,,,Public,CC0 1.0,,,automated,9/6/2026
balparda_2021_korq_activity_limitation,balparda_2021_korq_activity_limitation,,,,,10.7910/DVN/URNE8Q,,,Public,CC0 1.0,,,automated,9/6/2026
balparda_2021_korq_symptoms,balparda_2021_korq_symptoms,,,,,10.7910/DVN/URNE8Q,,,Public,CC0 1.0,,,automated,9/6/2026
baquerotomas_2026_ders,baquerotomas_2026_ders,,,,,10.7910/DVN/MXYEMC,,,Public,CC0 1.0,,,automated,9/6/2026
baquerotomas_2026_emas,baquerotomas_2026_emas,,,,,10.7910/DVN/MXYEMC,,,Public,CC0 1.0,,,automated,9/6/2026
baquerotomas_2026_gad7,baquerotomas_2026_gad7,,,,,10.7910/DVN/MXYEMC,,,Public,CC0 1.0,,,automated,9/6/2026
baquerotomas_2026_neoffi,baquerotomas_2026_neoffi,,,,,10.7910/DVN/MXYEMC,,,Public,CC0 1.0,,,automated,9/6/2026
baquerotomas_2026_phq9,baquerotomas_2026_phq9,,,,,10.7910/DVN/MXYEMC,,,Public,CC0 1.0,,,automated,9/6/2026
baquerotomas_2026_pil,baquerotomas_2026_pil,,,,,10.7910/DVN/MXYEMC,,,Public,CC0 1.0,,,automated,9/6/2026
baquerotomas_2026_spsi,baquerotomas_2026_spsi,,,,,10.7910/DVN/MXYEMC,,,Public,CC0 1.0,,,automated,9/6/2026
bialowolski_2024_financial_literacy,bialowolski_2024_financial_literacy,,,,,10.7910/DVN/MTQGSF,,,Public,CC0 1.0,,,automated,9/6/2026
cao_2026_cdss_cognitive_load,cao_2026_cdss_cognitive_load,,,,,10.6084/m9.figshare.33204345,,,Public,CC BY 4.0,,,automated,9/6/2026
cao_2026_cdss_intention_to_use,cao_2026_cdss_intention_to_use,,,,,10.6084/m9.figshare.33204345,,,Public,CC BY 4.0,,,automated,9/6/2026
cao_2026_cdss_perceived_autonomy,cao_2026_cdss_perceived_autonomy,,,,,10.6084/m9.figshare.33204345,,,Public,CC BY 4.0,,,automated,9/6/2026
cao_2026_cdss_professional_knowledge,cao_2026_cdss_professional_knowledge,,,,,10.6084/m9.figshare.33204345,,,Public,CC BY 4.0,,,automated,9/6/2026
cavojova_2017_cfc,cavojova_2017_cfc,,,,,10.7910/DVN/5VEZ7T,,,Public,CC0 1.0,,,automated,9/6/2026
choi_2026_cmsce_2019_1,choi_2026_cmsce_2019_1,,,,,10.7910/DVN/TQZQ6L,,,Public,CC0 1.0,,,automated,9/6/2026
choi_2026_cmsce_2019_2,choi_2026_cmsce_2019_2,,,,,10.7910/DVN/TQZQ6L,,,Public,CC0 1.0,,,automated,9/6/2026
choi_2026_cmsce_2020_1,choi_2026_cmsce_2020_1,,,,,10.7910/DVN/TQZQ6L,,,Public,CC0 1.0,,,automated,9/6/2026
choi_2026_cmsce_2020_2,choi_2026_cmsce_2020_2,,,,,10.7910/DVN/TQZQ6L,,,Public,CC0 1.0,,,automated,9/6/2026
choi_2026_cmsce_2021_1,choi_2026_cmsce_2021_1,,,,,10.7910/DVN/TQZQ6L,,,Public,CC0 1.0,,,automated,9/6/2026
choi_2026_cmsce_2021_2,choi_2026_cmsce_2021_2,,,,,10.7910/DVN/TQZQ6L,,,Public,CC0 1.0,,,automated,9/6/2026
cosenza_2015_cfc,cosenza_2015_cfc,,,,,10.7910/DVN/DWWZSI,,,Public,CC0 1.0,,,automated,9/6/2026
demirbag_2025_emotions,demirbag_2025_emotions,,,,,10.7910/DVN/HYZ6QH,,,Public,CC0 1.0,,,automated,9/6/2026
demirbag_2025_epistemological_beliefs,demirbag_2025_epistemological_beliefs,,,,,10.7910/DVN/HYZ6QH,,,Public,CC0 1.0,,,automated,9/6/2026
demirbag_2025_goal_orientations,demirbag_2025_goal_orientations,,,,,10.7910/DVN/HYZ6QH,,,Public,CC0 1.0,,,automated,9/6/2026
hochsteiner_2026_sustainability_relevance,hochsteiner_2026_sustainability_relevance,,,,,10.7910/DVN/FCNTSN,,,Public,CC0 1.0,,,automated,9/6/2026
manolika_2021_dirty_dozen,manolika_2021_dirty_dozen,,,,,10.7910/DVN/23NDKX,,,Public,CC0 1.0,,,automated,9/6/2026
manolika_2021_mini_ipip,manolika_2021_mini_ipip,,,,,10.7910/DVN/23NDKX,,,Public,CC0 1.0,,,automated,9/6/2026
manolika_2021_movie_preferences,manolika_2021_movie_preferences,,,,,10.7910/DVN/23NDKX,,,Public,CC0 1.0,,,automated,9/6/2026
manolika_2021_reading_preferences,manolika_2021_reading_preferences,,,,,10.7910/DVN/23NDKX,,,Public,CC0 1.0,,,automated,9/6/2026
okoro_2022_interest_inventory,okoro_2022_interest_inventory,,,,,10.7910/DVN/QAWGJV,,,Public,CC0 1.0,,,automated,9/6/2026
perales_2026_digital_financial_literacy,perales_2026_digital_financial_literacy,,,,,10.6084/m9.figshare.33312225,,,Public,CC BY 4.0,,,automated,9/6/2026
perales_2026_financial_resilience,perales_2026_financial_resilience,,,,,10.6084/m9.figshare.33312225,,,Public,CC BY 4.0,,,automated,9/6/2026
redline_2026_prosbq,redline_2026_prosbq,,,,,10.7910/DVN/4E3UDL,,,Public,CC0 1.0,,,automated,9/6/2026
rogers_2021_financial_knowledge,rogers_2021_financial_knowledge,,,,,10.17632/fzw7dthwh6,,,Public,CC BY 4.0,,,automated,9/6/2026
xu_2023_hi,xu_2023_hi,,,,,10.7910/DVN/C51SE3,,,Public,CC0 1.0,,,automated,9/6/2026
xu_2023_mi,xu_2023_mi,,,,,10.7910/DVN/C51SE3,,,Public,CC0 1.0,,,automated,9/6/2026
xu_2023_oic,xu_2023_oic,,,,,10.7910/DVN/C51SE3,,,Public,CC0 1.0,,,automated,9/6/2026
xu_2023_pca,xu_2023_pca,,,,,10.7910/DVN/C51SE3,,,Public,CC0 1.0,,,automated,9/6/2026
mboya_2020_gds15,mboya_2020_gds15,,,,,10.17632/btrrmwtfmh,,,Public,CC BY 4.0,,,automated,9/6/2026
eyrenci_2025_mental_health_literacy,eyrenci_2025_mental_health_literacy,,,,,10.17632/dmv73kyjdp,,,Public,CC BY 4.0,,,automated,9/6/2026
zhang_2026_ecosystem_services,zhang_2026_ecosystem_services,,,,,10.17632/62rjwfhm6j,,,Public,CC BY 4.0,,,automated,9/6/2026
zhang_2026_tourist_wellbeing,zhang_2026_tourist_wellbeing,,,,,10.17632/62rjwfhm6j,,,Public,CC BY 4.0,,,automated,9/6/2026
zhang_2026_healthy_attitude,zhang_2026_healthy_attitude,,,,,10.17632/62rjwfhm6j,,,Public,CC BY 4.0,,,automated,9/6/2026
zhang_2026_ecological_values,zhang_2026_ecological_values,,,,,10.17632/62rjwfhm6j,,,Public,CC BY 4.0,,,automated,9/6/2026
koksal_2023_psycap,koksal_2023_psycap,,,,,10.17632/zhcyyxwpr6,,,Public,CC BY 4.0,,,automated,9/6/2026
koksal_2023_life_satisfaction,koksal_2023_life_satisfaction,,,,,10.17632/zhcyyxwpr6,,,Public,CC BY 4.0,,,automated,9/6/2026
koksal_2023_work_depression,koksal_2023_work_depression,,,,,10.17632/zhcyyxwpr6,,,Public,CC BY 4.0,,,automated,9/6/2026
szabo_2025_passion,szabo_2025_passion,,,,,10.17632/jkwhf3ys6z,,,Public,CC BY 4.0,,,automated,9/6/2026
szabo_2025_wellbeing,szabo_2025_wellbeing,,,,,10.17632/jkwhf3ys6z,,,Public,CC BY 4.0,,,automated,9/6/2026
szabo_2025_molbi,szabo_2025_molbi,,,,,10.17632/jkwhf3ys6z,,,Public,CC BY 4.0,,,automated,9/6/2026
szabo_2025_bwas,szabo_2025_bwas,,,,,10.17632/jkwhf3ys6z,,,Public,CC BY 4.0,,,automated,9/6/2026
szabo_2025_work_addiction,szabo_2025_work_addiction,,,,,10.17632/jkwhf3ys6z,,,Public,CC BY 4.0,,,automated,9/6/2026
